,sample_iteration,sampled_dataset,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,2,1,1,500,100,100,,ablated_eq1,0.5143,200.0
0,2,1,1,500,100,100,,ablated_eq2,0.5017,200.0
0,2,1,1,500,100,100,,LOGAN_D1,0.5350999999999999,200.0
0,2,1,1,500,100,100,,MC,0.48865,200.0
0,2,1,1,500,100,100,,gan_leaks,0.4946,200.0
0,2,1,1,500,100,100,,gan_leaks_cal,0.5210999999999999,200.0
0,2,1,1,500,100,100,,LOGAN_0,0.5044,200.0
0,2,1,1,500,100,100,,eq1,0.5143,200.0
0,2,1,1,500,100,100,,domias,0.5122,200.0
0,2,1,2,500,100,100,,ablated_eq1,0.5197,200.0
0,2,1,2,500,100,100,,ablated_eq2,0.5441,200.0
0,2,1,2,500,100,100,,LOGAN_D1,0.5414,200.0
0,2,1,2,500,100,100,,MC,0.5166999999999999,200.0
0,2,1,2,500,100,100,,gan_leaks,0.5199,200.0
0,2,1,2,500,100,100,,gan_leaks_cal,0.5337000000000001,200.0
0,2,1,2,500,100,100,,LOGAN_0,0.4554,200.0
0,2,1,2,500,100,100,,eq1,0.5197,200.0
0,2,1,2,500,100,100,,domias,0.5349,200.0
