,CTGAN_loan_SHAP
0,0.00014905402082723642
1,0.0003688794624795661
2,0.0007857095146706603
3,8.09042563641714e-06
4,7.611551580189802e-05
5,0.0003326504479571658
6,0.0016599839095202142
7,0.00047976026366210433
8,3.229634276341624e-05
9,0.0004458922440939624
10,2.937412338032536e-05
11,0.0027485738441130896
12,0.00017985678918361618
13,0.0003114684427172295
14,3.1497414679104314e-05
15,7.767745218792236e-05
16,0.0014342404319901843
17,0.0013678041560884016
18,0.0003734847285145135
19,0.0008159529723630891
20,1.7735460157391936e-05
21,0.002275102625795837
22,0.0006940523335907332
23,0.004569949539446502
24,0.00023647299188086392
25,2.132829230021037e-06
26,0.0
27,0.0006254763273608817
28,0.0007823864383363387
29,0.005945261442581746
30,0.0008972156272287226
