,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
0,16487.0,2,2,2,30,1,2,0,0,0,0,7443.0,21404.0,35545.0,22713.0,39067.0,29548.0,407.0,600.0,676.0,861.0,2133.0,618.0,0
1,220397.0,2,2,2,23,0,0,0,0,0,0,51587.0,45086.0,35365.0,32868.0,64815.0,38228.0,4277.0,1246.0,2600.0,6813.0,5841.0,1578.0,0
2,136112.0,2,2,2,28,0,0,0,0,0,0,90175.0,81067.0,87506.0,71135.0,122981.0,77606.0,5875.0,3637.0,5187.0,3938.0,4774.0,7285.0,0
3,206837.0,2,1,2,27,-2,-2,-2,-2,-2,-1,1869.0,394.0,-4321.0,-70.0,7924.0,-2880.0,1406.0,0.0,451.0,49764.0,6560.0,596.0,0
4,185596.0,2,2,1,44,-2,-2,-2,-2,-2,-2,889.0,2542.0,1088.0,-1970.0,-853.0,763.0,101.0,413.0,0.0,236.0,0.0,121.0,0
5,222133.0,2,2,1,35,1,-2,-1,0,0,0,320.0,1272.0,14216.0,29843.0,10755.0,8433.0,0.0,694.0,0.0,0.0,1578.0,367.0,0
6,51324.0,2,3,1,49,0,0,0,0,0,0,48817.0,38050.0,22699.0,14949.0,13664.0,21565.0,4193.0,1981.0,2367.0,2011.0,802.0,1952.0,0
7,383895.0,2,1,2,30,-2,-2,-2,-2,-1,0,28625.0,13487.0,680.0,21928.0,208774.0,101662.0,1392.0,346.0,196892.0,72440.0,71068.0,11822.0,0
8,28912.0,2,1,2,22,-2,-2,-2,-2,-2,-2,-2349.0,-1912.0,9487.0,3460.0,15187.0,436.0,67.0,0.0,63.0,714.0,44.0,227.0,0
9,209103.0,2,1,2,31,0,0,0,-1,-1,-1,9684.0,3711.0,2932.0,1704.0,1532.0,336.0,1037.0,840.0,0.0,2372.0,1419.0,0.0,0
