,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc
0,1,100,10000,10000,200,ablated_eq1,0.50399547
0,1,100,10000,10000,200,ablated_eq2,0.50232254
0,1,100,10000,10000,200,LOGAN_D1,0.49744680999999996
0,1,100,10000,10000,200,MC,0.501411805
0,1,100,10000,10000,200,gan_leaks,0.5035335400000001
0,1,100,10000,10000,200,gan_leaks_cal,0.50475
0,1,100,10000,10000,200,LOGAN_0,0.50241995
0,1,100,10000,10000,200,eq1,0.50399547
0,1,100,10000,10000,200,domias,0.5028732600000001
0,1,500,10000,10000,200,ablated_eq1,0.502109715
0,1,500,10000,10000,200,ablated_eq2,0.500707585
0,1,500,10000,10000,200,LOGAN_D1,0.49450746999999995
0,1,500,10000,10000,200,MC,0.501942635
0,1,500,10000,10000,200,gan_leaks,0.499924205
0,1,500,10000,10000,200,gan_leaks_cal,0.5000030099999999
0,1,500,10000,10000,200,LOGAN_0,0.50146641
0,1,500,10000,10000,200,eq1,0.502109715
0,1,500,10000,10000,200,domias,0.501697955
0,1,1000,10000,10000,200,ablated_eq1,0.50339098
0,1,1000,10000,10000,200,ablated_eq2,0.50268383
0,1,1000,10000,10000,200,LOGAN_D1,0.49688575000000007
0,1,1000,10000,10000,200,MC,0.503660955
0,1,1000,10000,10000,200,gan_leaks,0.50297383
0,1,1000,10000,10000,200,gan_leaks_cal,0.50348427
0,1,1000,10000,10000,200,LOGAN_0,0.5018191699999999
0,1,1000,10000,10000,200,eq1,0.50339098
0,1,1000,10000,10000,200,domias,0.5033145
0,1,2000,10000,10000,200,ablated_eq1,0.50150853
0,1,2000,10000,10000,200,ablated_eq2,0.4993249
0,1,2000,10000,10000,200,LOGAN_D1,0.49782741
0,1,2000,10000,10000,200,MC,0.50209822
0,1,2000,10000,10000,200,gan_leaks,0.5014392999999999
0,1,2000,10000,10000,200,gan_leaks_cal,0.5010205
0,1,2000,10000,10000,200,LOGAN_0,0.49334732
0,1,2000,10000,10000,200,eq1,0.50150853
0,1,2000,10000,10000,200,domias,0.49968994999999994
0,1,3000,10000,10000,200,ablated_eq1,0.50448113
0,1,3000,10000,10000,200,ablated_eq2,0.50243854
0,1,3000,10000,10000,200,LOGAN_D1,0.497722385
0,1,3000,10000,10000,200,MC,0.50138637
0,1,3000,10000,10000,200,gan_leaks,0.502165405
0,1,3000,10000,10000,200,gan_leaks_cal,0.50275761
0,1,3000,10000,10000,200,LOGAN_0,0.49627085499999996
0,1,3000,10000,10000,200,eq1,0.50448113
0,1,3000,10000,10000,200,domias,0.50338031
0,1,5000,10000,10000,200,ablated_eq1,0.5044043899999999
0,1,5000,10000,10000,200,ablated_eq2,0.50379307
0,1,5000,10000,10000,200,LOGAN_D1,0.49767563499999995
0,1,5000,10000,10000,200,MC,0.5025622550000001
0,1,5000,10000,10000,200,gan_leaks,0.502471675
0,1,5000,10000,10000,200,gan_leaks_cal,0.50307017
0,1,5000,10000,10000,200,LOGAN_0,0.504220495
0,1,5000,10000,10000,200,eq1,0.5044043899999999
0,1,5000,10000,10000,200,domias,0.5037923
0,2,100,10000,10000,200,ablated_eq1,0.5034900250000001
0,2,100,10000,10000,200,ablated_eq2,0.503920705
0,2,100,10000,10000,200,LOGAN_D1,0.49535962499999997
0,2,100,10000,10000,200,MC,0.5010111
0,2,100,10000,10000,200,gan_leaks,0.50240122
0,2,100,10000,10000,200,gan_leaks_cal,0.50413135
0,2,100,10000,10000,200,LOGAN_0,0.504659045
0,2,100,10000,10000,200,eq1,0.5034900250000001
0,2,100,10000,10000,200,domias,0.503942035
0,2,500,10000,10000,200,ablated_eq1,0.5045574450000001
0,2,500,10000,10000,200,ablated_eq2,0.503707935
0,2,500,10000,10000,200,LOGAN_D1,0.49648943500000003
0,2,500,10000,10000,200,MC,0.50116937
0,2,500,10000,10000,200,gan_leaks,0.50187847
0,2,500,10000,10000,200,gan_leaks_cal,0.50181538
0,2,500,10000,10000,200,LOGAN_0,0.50208421
0,2,500,10000,10000,200,eq1,0.5045574450000001
0,2,500,10000,10000,200,domias,0.504254945
0,2,1000,10000,10000,200,ablated_eq1,0.50261181
0,2,1000,10000,10000,200,ablated_eq2,0.50158607
0,2,1000,10000,10000,200,LOGAN_D1,0.49559721500000004
0,2,1000,10000,10000,200,MC,0.5008110299999999
0,2,1000,10000,10000,200,gan_leaks,0.499905525
0,2,1000,10000,10000,200,gan_leaks_cal,0.50051811
0,2,1000,10000,10000,200,LOGAN_0,0.504291835
0,2,1000,10000,10000,200,eq1,0.50261181
0,2,1000,10000,10000,200,domias,0.50179091
0,2,2000,10000,10000,200,ablated_eq1,0.503623465
0,2,2000,10000,10000,200,ablated_eq2,0.5021083550000001
0,2,2000,10000,10000,200,LOGAN_D1,0.4977389950000001
0,2,2000,10000,10000,200,MC,0.50162734
0,2,2000,10000,10000,200,gan_leaks,0.5019444399999999
0,2,2000,10000,10000,200,gan_leaks_cal,0.50128006
0,2,2000,10000,10000,200,LOGAN_0,0.49889848
0,2,2000,10000,10000,200,eq1,0.503623465
0,2,2000,10000,10000,200,domias,0.5021482150000001
0,2,3000,10000,10000,200,ablated_eq1,0.50460017
0,2,3000,10000,10000,200,ablated_eq2,0.5040088100000001
0,2,3000,10000,10000,200,LOGAN_D1,0.497303555
0,2,3000,10000,10000,200,MC,0.50257319
0,2,3000,10000,10000,200,gan_leaks,0.5032063
0,2,3000,10000,10000,200,gan_leaks_cal,0.50348905
0,2,3000,10000,10000,200,LOGAN_0,0.500090385
0,2,3000,10000,10000,200,eq1,0.50460017
0,2,3000,10000,10000,200,domias,0.5036213700000001
0,2,5000,10000,10000,200,ablated_eq1,0.505055005
0,2,5000,10000,10000,200,ablated_eq2,0.503786385
0,2,5000,10000,10000,200,LOGAN_D1,0.49731111
0,2,5000,10000,10000,200,MC,0.50235527
0,2,5000,10000,10000,200,gan_leaks,0.50646827
0,2,5000,10000,10000,200,gan_leaks_cal,0.5101871699999999
0,2,5000,10000,10000,200,LOGAN_0,0.5065108650000001
0,2,5000,10000,10000,200,eq1,0.505055005
