,iteration,epoch,training_size,reference_size,gen_size,src,aucroc
0,1,100,10000,10000,500,ablated_eq1,0.49282636
0,1,100,10000,10000,500,ablated_eq2,0.49334772000000005
0,1,100,10000,10000,500,LOGAN_D1,0.50161111
0,1,100,10000,10000,500,MC,0.493882485
0,1,100,10000,10000,500,gan_leaks,0.49452123000000003
0,1,100,10000,10000,500,gan_leaks_cal,0.49454245999999996
0,1,100,10000,10000,500,LOGAN_0,0.4978181
0,1,100,10000,10000,500,eq1,0.49282636
0,1,100,10000,10000,500,domias,0.49355669999999996
0,1,500,10000,10000,500,ablated_eq1,0.49332453
0,1,500,10000,10000,500,ablated_eq2,0.49371542999999996
0,1,500,10000,10000,500,LOGAN_D1,0.4997856
0,1,500,10000,10000,500,MC,0.49252200500000004
0,1,500,10000,10000,500,gan_leaks,0.49481867999999996
0,1,500,10000,10000,500,gan_leaks_cal,0.49417236999999997
0,1,500,10000,10000,500,LOGAN_0,0.49147082999999997
0,1,500,10000,10000,500,eq1,0.49332453
0,1,500,10000,10000,500,domias,0.49445989
0,1,1000,10000,10000,500,ablated_eq1,0.49418311499999995
0,1,1000,10000,10000,500,ablated_eq2,0.494298265
0,1,1000,10000,10000,500,LOGAN_D1,0.49952668
0,1,1000,10000,10000,500,MC,0.49596003499999997
0,1,1000,10000,10000,500,gan_leaks,0.49704745
0,1,1000,10000,10000,500,gan_leaks_cal,0.4972929750000001
0,1,1000,10000,10000,500,LOGAN_0,0.49819141
0,1,1000,10000,10000,500,eq1,0.49418311499999995
0,1,1000,10000,10000,500,domias,0.495397275
0,1,2000,10000,10000,500,ablated_eq1,0.49550109999999997
0,1,2000,10000,10000,500,ablated_eq2,0.49675557
0,1,2000,10000,10000,500,LOGAN_D1,0.5045175150000001
0,1,2000,10000,10000,500,MC,0.49277501
0,1,2000,10000,10000,500,gan_leaks,0.49542077999999995
0,1,2000,10000,10000,500,gan_leaks_cal,0.496676995
0,1,2000,10000,10000,500,LOGAN_0,0.495193325
0,1,2000,10000,10000,500,eq1,0.49550109999999997
0,1,2000,10000,10000,500,domias,0.49744807
0,1,3000,10000,10000,500,ablated_eq1,0.49476363
0,1,3000,10000,10000,500,ablated_eq2,0.49536981
0,1,3000,10000,10000,500,LOGAN_D1,0.5011688350000001
0,1,3000,10000,10000,500,MC,0.49514361500000004
0,1,3000,10000,10000,500,gan_leaks,0.49589292999999995
0,1,3000,10000,10000,500,gan_leaks_cal,0.4961127799999999
0,1,3000,10000,10000,500,LOGAN_0,0.49484393000000004
0,1,3000,10000,10000,500,eq1,0.49476363
0,1,3000,10000,10000,500,domias,0.49650218
0,1,5000,10000,10000,500,ablated_eq1,0.49526251
0,1,5000,10000,10000,500,ablated_eq2,0.49656858000000004
0,1,5000,10000,10000,500,LOGAN_D1,0.50191451
0,1,5000,10000,10000,500,MC,0.49078628
0,1,5000,10000,10000,500,gan_leaks,0.49628174999999997
0,1,5000,10000,10000,500,gan_leaks_cal,0.49881024
0,1,5000,10000,10000,500,LOGAN_0,0.5008452800000001
0,1,5000,10000,10000,500,eq1,0.49526251
0,1,5000,10000,10000,500,domias,0.49819995000000006
0,2,100,10000,10000,500,ablated_eq1,0.49409534
0,2,100,10000,10000,500,ablated_eq2,0.49460505000000005
0,2,100,10000,10000,500,LOGAN_D1,0.500604695
0,2,100,10000,10000,500,MC,0.4960011
0,2,100,10000,10000,500,gan_leaks,0.49344898
0,2,100,10000,10000,500,gan_leaks_cal,0.4934707650000001
0,2,100,10000,10000,500,LOGAN_0,0.5007020099999999
0,2,100,10000,10000,500,eq1,0.49409534
0,2,100,10000,10000,500,domias,0.49481834999999996
0,2,500,10000,10000,500,ablated_eq1,0.49419946000000003
0,2,500,10000,10000,500,ablated_eq2,0.49510468
0,2,500,10000,10000,500,LOGAN_D1,0.500150095
0,2,500,10000,10000,500,MC,0.49248387499999996
0,2,500,10000,10000,500,gan_leaks,0.49409639
0,2,500,10000,10000,500,gan_leaks_cal,0.493949815
0,2,500,10000,10000,500,LOGAN_0,0.50660132
0,2,500,10000,10000,500,eq1,0.49419946000000003
0,2,500,10000,10000,500,domias,0.49533287
0,2,1000,10000,10000,500,ablated_eq1,0.49594998500000004
0,2,1000,10000,10000,500,ablated_eq2,0.496049745
0,2,1000,10000,10000,500,LOGAN_D1,0.50137699
0,2,1000,10000,10000,500,MC,0.49449447999999996
0,2,1000,10000,10000,500,gan_leaks,0.49246155
0,2,1000,10000,10000,500,gan_leaks_cal,0.493123405
0,2,1000,10000,10000,500,LOGAN_0,0.49924359000000007
0,2,1000,10000,10000,500,eq1,0.49594998500000004
0,2,1000,10000,10000,500,domias,0.4970012549999999
0,2,2000,10000,10000,500,ablated_eq1,0.49316072000000005
0,2,2000,10000,10000,500,ablated_eq2,0.49344608
0,2,2000,10000,10000,500,LOGAN_D1,0.5035072700000001
0,2,2000,10000,10000,500,MC,0.4929272
0,2,2000,10000,10000,500,gan_leaks,0.49526541
0,2,2000,10000,10000,500,gan_leaks_cal,0.49579862500000005
0,2,2000,10000,10000,500,LOGAN_0,0.49782607
0,2,2000,10000,10000,500,eq1,0.49316072000000005
0,2,2000,10000,10000,500,domias,0.49436950999999996
0,2,3000,10000,10000,500,ablated_eq1,0.49440391999999994
0,2,3000,10000,10000,500,ablated_eq2,0.49423908
0,2,3000,10000,10000,500,LOGAN_D1,0.49697697500000004
0,2,3000,10000,10000,500,MC,0.492609055
0,2,3000,10000,10000,500,gan_leaks,0.495702415
0,2,3000,10000,10000,500,gan_leaks_cal,0.4960461300000001
0,2,3000,10000,10000,500,LOGAN_0,0.5056437149999999
0,2,3000,10000,10000,500,eq1,0.49440391999999994
0,2,3000,10000,10000,500,domias,0.49541713
0,2,5000,10000,10000,500,ablated_eq1,0.493575475
0,2,5000,10000,10000,500,ablated_eq2,0.494147365
0,2,5000,10000,10000,500,LOGAN_D1,0.49951611500000004
0,2,5000,10000,10000,500,MC,0.49328708500000007
0,2,5000,10000,10000,500,gan_leaks,0.4959001900000001
0,2,5000,10000,10000,500,gan_leaks_cal,0.496601305
0,2,5000,10000,10000,500,LOGAN_0,0.500757855
0,2,5000,10000,10000,500,eq1,0.493575475
0,2,5000,10000,10000,500,domias,0.495021435
0,3,100,10000,10000,500,ablated_eq1,0.49548778000000004
0,3,100,10000,10000,500,ablated_eq2,0.49625721
0,3,100,10000,10000,500,LOGAN_D1,0.49923676000000006
0,3,100,10000,10000,500,MC,0.49592383500000004
0,3,100,10000,10000,500,gan_leaks,0.49468825
0,3,100,10000,10000,500,gan_leaks_cal,0.49458129500000003
0,3,100,10000,10000,500,LOGAN_0,0.498011565
0,3,100,10000,10000,500,eq1,0.49548778000000004
0,3,100,10000,10000,500,domias,0.49643321000000007
0,3,500,10000,10000,500,ablated_eq1,0.49377225
0,3,500,10000,10000,500,ablated_eq2,0.49359162
0,3,500,10000,10000,500,LOGAN_D1,0.498906435
0,3,500,10000,10000,500,MC,0.49217715000000006
0,3,500,10000,10000,500,gan_leaks,0.49364041000000003
0,3,500,10000,10000,500,gan_leaks_cal,0.49237619000000005
0,3,500,10000,10000,500,LOGAN_0,0.49494373999999997
0,3,500,10000,10000,500,eq1,0.49377225
0,3,500,10000,10000,500,domias,0.49456128000000005
0,3,1000,10000,10000,500,ablated_eq1,0.49348752000000007
0,3,1000,10000,10000,500,ablated_eq2,0.49355682
0,3,1000,10000,10000,500,LOGAN_D1,0.50111598
0,3,1000,10000,10000,500,MC,0.492423885
0,3,1000,10000,10000,500,gan_leaks,0.49593320500000004
0,3,1000,10000,10000,500,gan_leaks_cal,0.495916245
0,3,1000,10000,10000,500,LOGAN_0,0.49843941499999994
0,3,1000,10000,10000,500,eq1,0.49348752000000007
0,3,1000,10000,10000,500,domias,0.49440739
0,3,2000,10000,10000,500,ablated_eq1,0.494741415
0,3,2000,10000,10000,500,ablated_eq2,0.494624345
0,3,2000,10000,10000,500,LOGAN_D1,0.50300302
0,3,2000,10000,10000,500,MC,0.49252950500000003
0,3,2000,10000,10000,500,gan_leaks,0.4937724
0,3,2000,10000,10000,500,gan_leaks_cal,0.49364942000000006
0,3,2000,10000,10000,500,LOGAN_0,0.509214135
0,3,2000,10000,10000,500,eq1,0.494741415
0,3,2000,10000,10000,500,domias,0.49622034499999995
0,3,3000,10000,10000,500,ablated_eq1,0.49440388
0,3,3000,10000,10000,500,ablated_eq2,0.49458085999999996
0,3,3000,10000,10000,500,LOGAN_D1,0.50021145
0,3,3000,10000,10000,500,MC,0.49306083
0,3,3000,10000,10000,500,gan_leaks,0.49663209
0,3,3000,10000,10000,500,gan_leaks_cal,0.49829322
0,3,3000,10000,10000,500,LOGAN_0,0.50081061
0,3,3000,10000,10000,500,eq1,0.49440388
0,3,3000,10000,10000,500,domias,0.49611557
0,3,5000,10000,10000,500,ablated_eq1,0.49644569499999996
0,3,5000,10000,10000,500,ablated_eq2,0.49811730499999995
0,3,5000,10000,10000,500,LOGAN_D1,0.49936375499999996
0,3,5000,10000,10000,500,MC,0.493131755
0,3,5000,10000,10000,500,gan_leaks,0.49676232000000003
0,3,5000,10000,10000,500,gan_leaks_cal,0.49725198
0,3,5000,10000,10000,500,LOGAN_0,0.49740482
0,3,5000,10000,10000,500,eq1,0.49644569499999996
0,3,5000,10000,10000,500,domias,0.49963728500000004
0,4,100,10000,10000,500,ablated_eq1,0.49287270000000005
0,4,100,10000,10000,500,ablated_eq2,0.4931171900000001
0,4,100,10000,10000,500,LOGAN_D1,0.49944478
0,4,100,10000,10000,500,MC,0.493594945
0,4,100,10000,10000,500,gan_leaks,0.49301010999999995
0,4,100,10000,10000,500,gan_leaks_cal,0.492365265
0,4,100,10000,10000,500,LOGAN_0,0.497505915
0,4,100,10000,10000,500,eq1,0.49287270000000005
0,4,100,10000,10000,500,domias,0.49322079
0,4,500,10000,10000,500,ablated_eq1,0.49187980000000003
0,4,500,10000,10000,500,ablated_eq2,0.49231631
0,4,500,10000,10000,500,LOGAN_D1,0.499728885
0,4,500,10000,10000,500,MC,0.49505756
0,4,500,10000,10000,500,gan_leaks,0.49615162999999995
0,4,500,10000,10000,500,gan_leaks_cal,0.49625697999999996
0,4,500,10000,10000,500,LOGAN_0,0.5019018
0,4,500,10000,10000,500,eq1,0.49187980000000003
0,4,500,10000,10000,500,domias,0.49255256000000003
0,4,1000,10000,10000,500,ablated_eq1,0.49746399999999996
0,4,1000,10000,10000,500,ablated_eq2,0.49950830000000007
0,4,1000,10000,10000,500,LOGAN_D1,0.50170066
0,4,1000,10000,10000,500,MC,0.494675585
0,4,1000,10000,10000,500,gan_leaks,0.49925017000000005
0,4,1000,10000,10000,500,gan_leaks_cal,0.5007062600000001
0,4,1000,10000,10000,500,LOGAN_0,0.50428239
0,4,1000,10000,10000,500,eq1,0.49746399999999996
0,4,1000,10000,10000,500,domias,0.49958069
0,4,2000,10000,10000,500,ablated_eq1,0.49380673
0,4,2000,10000,10000,500,ablated_eq2,0.49504945
0,4,2000,10000,10000,500,LOGAN_D1,0.50231973
0,4,2000,10000,10000,500,MC,0.49023423499999996
0,4,2000,10000,10000,500,gan_leaks,0.4930956
0,4,2000,10000,10000,500,gan_leaks_cal,0.49288915499999997
0,4,2000,10000,10000,500,LOGAN_0,0.497328805
0,4,2000,10000,10000,500,eq1,0.49380673
0,4,2000,10000,10000,500,domias,0.49583772000000004
0,4,3000,10000,10000,500,ablated_eq1,0.49579679
0,4,3000,10000,10000,500,ablated_eq2,0.49713803
0,4,3000,10000,10000,500,LOGAN_D1,0.50481879
