,iteration,epoch,training_size,reference_size,gen_size,src,aucroc
0,1,2000,10000,10000,100,ablated_eq1,0.50658348
0,1,2000,10000,10000,100,ablated_eq2,0.50595828
0,1,2000,10000,10000,100,LOGAN_D1,0.49858414
0,1,2000,10000,10000,100,MC,0.505930765
0,1,2000,10000,10000,100,gan_leaks,0.504822155
0,1,2000,10000,10000,100,gan_leaks_cal,0.504512885
0,1,2000,10000,10000,100,LOGAN_0,0.49729001500000003
0,1,2000,10000,10000,100,eq1,0.50658348
0,1,2000,10000,10000,100,domias,0.5055125
0,1,2000,10000,10000,200,ablated_eq1,0.5073044149999999
0,1,2000,10000,10000,200,ablated_eq2,0.506951725
0,1,2000,10000,10000,200,LOGAN_D1,0.4999899750000001
0,1,2000,10000,10000,200,MC,0.507153835
0,1,2000,10000,10000,200,gan_leaks,0.5061823000000001
0,1,2000,10000,10000,200,gan_leaks_cal,0.506832975
0,1,2000,10000,10000,200,LOGAN_0,0.50520579
0,1,2000,10000,10000,200,eq1,0.5073044149999999
0,1,2000,10000,10000,200,domias,0.506214815
0,1,2000,10000,10000,500,ablated_eq1,0.503586365
0,1,2000,10000,10000,500,ablated_eq2,0.502089515
0,1,2000,10000,10000,500,LOGAN_D1,0.49652261499999994
0,1,2000,10000,10000,500,MC,0.5027627450000001
0,1,2000,10000,10000,500,gan_leaks,0.50329716
0,1,2000,10000,10000,500,gan_leaks_cal,0.50254355
0,1,2000,10000,10000,500,LOGAN_0,0.4975270500000001
0,1,2000,10000,10000,500,eq1,0.503586365
0,1,2000,10000,10000,500,domias,0.501637415
0,1,2000,10000,10000,1000,ablated_eq1,0.506402295
0,1,2000,10000,10000,1000,ablated_eq2,0.505871415
0,1,2000,10000,10000,1000,LOGAN_D1,0.49795881500000005
0,1,2000,10000,10000,1000,MC,0.504742435
0,1,2000,10000,10000,1000,gan_leaks,0.50469986
0,1,2000,10000,10000,1000,gan_leaks_cal,0.5046217399999999
0,1,2000,10000,10000,1000,LOGAN_0,0.50509537
0,1,2000,10000,10000,1000,eq1,0.506402295
