,iteration,epoch,training_size,reference_size,gen_size,src,aucroc
0,1,2000,10000,500,500,ablated_eq1,0.503681665
0,1,2000,10000,500,500,ablated_eq2,0.506456555
0,1,2000,10000,500,500,LOGAN_D1,0.505172865
0,1,2000,10000,500,500,MC,0.502136595
0,1,2000,10000,500,500,gan_leaks,0.500144745
0,1,2000,10000,500,500,gan_leaks_cal,0.50361403
0,1,2000,10000,500,500,LOGAN_0,0.501671475
0,1,2000,10000,500,500,eq1,0.503681665
0,1,2000,10000,500,500,domias,0.506164055
0,1,2000,10000,3000,500,ablated_eq1,0.49976005500000004
0,1,2000,10000,3000,500,ablated_eq2,0.502099945
0,1,2000,10000,3000,500,LOGAN_D1,0.503387745
0,1,2000,10000,3000,500,MC,0.49818495500000004
0,1,2000,10000,3000,500,gan_leaks,0.499281525
0,1,2000,10000,3000,500,gan_leaks_cal,0.49969228499999996
0,1,2000,10000,3000,500,LOGAN_0,0.50143526
0,1,2000,10000,3000,500,eq1,0.49976005500000004
0,1,2000,10000,3000,500,domias,0.501951425
0,1,2000,10000,5000,500,ablated_eq1,0.50018161
0,1,2000,10000,5000,500,ablated_eq2,0.50447755
0,1,2000,10000,5000,500,LOGAN_D1,0.503787335
0,1,2000,10000,5000,500,MC,0.50077952
0,1,2000,10000,5000,500,gan_leaks,0.5001965749999999
0,1,2000,10000,5000,500,gan_leaks_cal,0.502115675
0,1,2000,10000,5000,500,LOGAN_0,0.5012157500000001
0,1,2000,10000,5000,500,eq1,0.50018161
0,1,2000,10000,5000,500,domias,0.50400719
0,1,2000,10000,10000,500,ablated_eq1,0.499328425
0,1,2000,10000,10000,500,ablated_eq2,0.501195195
0,1,2000,10000,10000,500,LOGAN_D1,0.5039156699999999
0,1,2000,10000,10000,500,MC,0.500647025
0,1,2000,10000,10000,500,gan_leaks,0.501455485
0,1,2000,10000,10000,500,gan_leaks_cal,0.502079355
0,1,2000,10000,10000,500,LOGAN_0,0.50797552
0,1,2000,10000,10000,500,eq1,0.499328425
0,1,2000,10000,10000,500,domias,0.501625085
0,2,2000,10000,500,500,ablated_eq1,0.50231841
0,2,2000,10000,500,500,ablated_eq2,0.5054870300000001
0,2,2000,10000,500,500,LOGAN_D1,0.50460333
0,2,2000,10000,500,500,MC,0.499847955
0,2,2000,10000,500,500,gan_leaks,0.50172612
0,2,2000,10000,500,500,gan_leaks_cal,0.503640945
0,2,2000,10000,500,500,LOGAN_0,0.506669935
0,2,2000,10000,500,500,eq1,0.50231841
0,2,2000,10000,500,500,domias,0.50551139
0,2,2000,10000,3000,500,ablated_eq1,0.50043786
0,2,2000,10000,3000,500,ablated_eq2,0.50431609
0,2,2000,10000,3000,500,LOGAN_D1,0.5033092100000001
0,2,2000,10000,3000,500,MC,0.5008586500000001
0,2,2000,10000,3000,500,gan_leaks,0.5016064149999999
0,2,2000,10000,3000,500,gan_leaks_cal,0.5018493549999999
0,2,2000,10000,3000,500,LOGAN_0,0.506168035
