,sample_iteration,sampled_dataset,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,2,0,1,200,100,100,,ablated_eq1,0.46915,200.0
0,2,0,1,200,100,100,,ablated_eq2,0.5005499999999999,200.0
0,2,0,1,200,100,100,,LOGAN_D1,0.49960000000000004,200.0
0,2,0,1,200,100,100,,MC,0.48039999999999994,200.0
0,2,0,1,200,100,100,,gan_leaks,0.4772,200.0
0,2,0,1,200,100,100,,gan_leaks_cal,0.4855,200.0
0,2,0,1,200,100,100,,LOGAN_0,0.5518,200.0
0,2,0,1,200,100,100,,eq1,0.46915,200.0
0,2,0,1,200,100,100,,domias,0.48064999999999997,200.0
0,2,0,2,200,100,100,,ablated_eq1,0.47140000000000004,200.0
0,2,0,2,200,100,100,,ablated_eq2,0.5187,200.0
0,2,0,2,200,100,100,,LOGAN_D1,0.5086999999999999,200.0
0,2,0,2,200,100,100,,MC,0.48085,200.0
0,2,0,2,200,100,100,,gan_leaks,0.49339999999999995,200.0
0,2,0,2,200,100,100,,gan_leaks_cal,0.5025999999999999,200.0
0,2,0,2,200,100,100,,LOGAN_0,0.5408,200.0
0,2,0,2,200,100,100,,eq1,0.47140000000000004,200.0
0,2,0,2,200,100,100,,domias,0.49219999999999997,200.0
